id,name,name_zh,url,type,news_list_dynamic,news_list,news_a_href,news_list_next_page_a_href,new_list_title,news_list_date,news_title,news_date_multi,news_date,news_view,news_author,news_source,news_content,url_prefix,disabled
1,pku,北京大学,http://news.pku.edu.cn/xwzh/xwzh.htm,新闻,0,td.be12,a::attr("href"),table tr td div a:nth-last-child(2)::attr("href"),,,td.con18::text,0,td.be12 td.be12::text,,,td.be12::text,td.con14 p::text,http://news.pku.edu.cn/xwzh/,1
2,ruc,中国人民大学,http://news.ruc.edu.cn/archives/category/important_news,新闻,0,div.content_col_2_list li,a::attr("href"),div.content_col_2_nav a::attr("href"),,,.nc_title::text,0,span.date::text,div.views::text,div.nc_author::text,,div.nc_body p::text,,1
3,thu,清华大学,https://www.tsinghua.edu.cn/publish/thu2018/index.html,新闻,1,,,,,,article h1::text,0,,,,,article p::text,http://news.tsinghua.edu.cn/,1
4,buaa,北京航空航天大学,https://news.buaa.edu.cn/zhxw_new.htm,综合新闻,0,div.listleftop1,a::attr("href"),a.Next::attr("href"),a::text,em::text,div.newslefttit h1::text,0,,,,,#vsb_content  ::text,https://news.buaa.edu.cn/,1
5,bit,北京理工大学,http://www.bit.edu.cn/xww/jdgz/index.htm,焦点关注,0,div.new_con li,a::attr("href"),div.page form div a:nth-child(3)::attr("href"),a::text,,.article_title h2::text,1,div.article_title .fbt ::text,,div.fbt font:nth-child(2)::text,div.fbt font:nth-child(2)::text,div.article_con p ::text,www.bit.edu.cn/xww/,1
6,cau,中国农业大学,,,1,,,,,,,,,,,,,,1
7,bnu,北京师范大学,http://news.bnu.edu.cn/zx/xwhj/index.htm,,1,,,,,,,,,,,,,,1
8,muc,中央民族大学,http://news.muc.edu.cn/zhxw/index.html,综合新闻,0,div.ns_c div.news_list li,span a::attr("href"),div.news_fanye a:nth-child(6)::attr("href"),span a::attr("title"),span.fdy::text,div.news_dbt::text,0,div.news_xbt span.arial::text,,div.news_xbt span:nth-child(2)::text,div.news_xbt ::text,div.conts p ::text,,1
9,nku,南开大学,http://news.nankai.edu.cn/nkyw/index.shtml,南开要闻,0,div.news-content table tr,a::attr("href"),div.news-content div  a:last-of-type::attr("href"),a::text,,div.news-title h2::text,1,div.news-detail ::text,,div.news-detail ::text,div.news-detail ::text,div.news-content p ::text,,1
10,tju,天津大学,http://news.tju.edu.cn/jjtd.htm,聚焦天大,0,.indexList li,h4 a::attr("href"),td div a.Next::attr("href"),h4 a::text,h5 ::text,h3 #fx_article_title::text,1,p.contentTime ::text,p.contentTime span::text,p.vsbcontent_end::text,,div.v_news_content p ::text,http://news.tju.edu.cn/,1
11,dlut,大连理工大学,http://news.dlut.edu.cn/xw/zhxw.htm,综合新闻,0,.bor-9fc .fs-14 ul li:nth-child(odd),a::attr("href"),table table td div a.Next::attr("href"),a::text,span.date::text,form h1::text,0,div.arti-atttibute span.post-time::text,,div.arti-atttibute span:first-child::text,div.arti-atttibute span:nth-child(2)::text,div.cont-detail ::text,http://news.dlut.edu.cn,1
12,jlu,吉林大学,https://news.jlu.edu.cn/jdxw/jdxw.htm,焦点新闻,0,.list-right-con .list-news-left ul li,a::attr("href"),table table td div a.Next::attr("href"),a::text,span::text,div.content-title h2::text,0,div.content-title span a::text,,div.content-title span a:nth-child(2)::text,div.content-title span a:nth-child(2)::text,div.content-con ::text,https://news.jlu.edu.cn,1
13,hit,哈尔滨工业大学,http://news.hit.edu.cn/xxyw/list11.psp,学校要闻,0,ul.wp_article_list li,div.pr_fields span.Article_Title a::attr("href"),.wp_paging li.page_nav a.next::attr("href"),div.pr_fields span.Article_Title a::text,span.Article_PublishDate::text,,0,span.arti_update::text,,span.arti_publisher::text,span.arti_from::text,div.wp_articlecontent ::text,http://news.hit.edu.cn,1
14,fudan,复旦大学,http://news.fudan.edu.cn/news/xxyw/,学校要闻,0,ul.text_list_f14 li,a::attr("href"),#pages a:nth-child(4)::attr("href"),,span.date::text,#content_head h1::text,0,,,div#content h2 span::text,div#content h2 span::text,div#endtext ::text,http://news.fudan.edu.cn/,1
15,tongji,同济大学,https://news.tongji.edu.cn/tjyw1.htm,同济要闻,0,div.list ul li,a::attr("href"),span.p_next a::attr("href"),,,div#content-title h3::text,1,div.content-title i ::text,,div#content-title i ::text,div#content-title i ::text,div.v_news_content ::text,https://news.tongji.edu.cn/,1
16,sjtu,上海交通大学,http://news.sjtu.edu.cn/jdyw/index.html,交大要闻,0,div.list-card-h ul li,a::attr("href"),,,,,,,,,,,,1
17,ecnu,华东师范大学,http://news.ecnu.edu.cn/1833/list.htm,要闻,0,#wp_news_w1 table tbody,a::attr("href"),a.next::attr("href"),,tr table tr td div::text,span.Article_Title::text,0,,s,div.ar span.Article_Author::text,div.ar span.Article_Source::text,div.Article_Content p ::text,http://news.ecnu.edu.cn,1
18,nju,南京大学,http://news.nju.edu.cn/list_1.html,校内新闻,0,div#cat_list_content ul li,a::attr("href"),a#next::attr("href"),,span.date::text,div.article_title::text,0,,,div.article_info ::text,div.article_info ::text,div.article_content ::text,http://news.nju.edu.cn/,1
19,seu,东南大学,http://news.seu.edu.cn/5487/list.htm,头条新闻,0,div#wp_news_w4 table tr,td a::attr("href"),a.next::attr("href"),,table tr div::text,span.Article_Title::text,0,,,div.wp_articlecontent p.p_text_indent_2 span::text,div.wp_articlecontent p.p_text_indent_2 span::text,div.Article_Content ::text,http://news.seu.edu.cn,1
20,zju,浙江大学,http://www.news.zju.edu.cn/745/list.htm,要闻,0,div.col_news_list div#wp_news_w30 div.clearfix,div.new_tt a:nth-child(2)::attr("href"),li.page_nav a.next::attr("href"),,div.news_time::text,div.article h1.arti_title::text,0,,a,p.arti_metas span:nth-child(3)::text,p.arti_metas span:nth-child(2)::text,div.wp_articlecontent ::text,http://www.news.zju.edu.cn,1
21,,中国科学技术大学,,,,,,,,,,,,,,,,,1
22,xmu,厦门大学,http://news.xmu.edu.cn/1550/list.htm,焦点要闻,0,div#wp_news_w4 table tr,a::attr("href"),a.next::attr("href"),,div::text,span.Article_Title::text,0,,,,,div.Article_Content ::text,http://news.xmu.edu.cn,1
23,sdu,山东大学,http://www.view.sdu.edu.cn/sdyw.htm,山大要闻,0,ul.sublist li,a::attr("href"),a.Next::attr("href"),,span::text,div.news_tit h3::text,0,,,,,div.news_content ::text,http://www.view.sdu.edu.cn/,1
24,ouc,中国海洋大学,http://xinwen.ouc.edu.cn/Article/Class3/xwlb/index.html,海大要闻,0,div.s_classlist_text,a::attr("href"),div.class_page div a:nth-last-child(3)::attr("href"),,div.s_classlist_text_c::text,div.biaotiziti ::text,0,,,div.c_title_author span:nth-child(1)::text,div.c_title_author span:nth-child(2)::text,div.hang p ::text,http://xinwen.ouc.edu.cn,1
25,whu,武汉大学,http://news.whu.edu.cn/wdyw.htm,武大要闻,0,div.list div ul li,div.infotitle a::attr("href"),a.Next::attr("href"),,div.infodate::text,div.news_title::text,0,,div.news_attrib ::text,div.news_attrib ::text,div.news_attrib ::text,div.v_news_content ::text,http://news.whu.edu.cn/,1
26,hust,华中科技大学,http://news.hust.edu.cn/155/list.htm,学校要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h1.arti_title::text,0,,,p.arti_metas span:first-child::text,p.arti_metas span:first-child::text,div.wp_articlecontent ::text,http://news.hust.edu.cn,1
27,csu,中南大学,http://news.csu.edu.cn/xxyw.htm,学校要闻,0,ul.subNewList li,a::attr("href"),a.Next::attr("href"),,span::text,h4.subTitle2 span::text,0,,p.otherTme ::text,,,div.subCont ::text,http://news.csu.edu.cn/,1
28,sysu,中山大学,http://news2.sysu.edu.cn/news01/index.htm,中大新闻,0,div.lan5 ul li,a::attr("href"),div.links a:nth-child(3)::attr("href"),,span.time::text,div.cont h1::text,0,,div.cont p ::text,div.cont p ::text,div.cont p ::text,div.cont ::text,http://news2.sysu.edu.cn/news01/,1
29,scut,华南理工大学,http://news.scut.edu.cn/41/list.htm,校园新闻,0,div#wp_news_w45 li,a::attr("href"),a.next::attr("href"),,span.column-news-date::text,div.arti-head h1::text,0,,,span.arti-form::text,span.arti-form::text,div.wp_articlecontent ::text,http://news.scut.edu.cn,1
30,scu,四川大学,http://www.scu.edu.cn/index/xw/jdxw.htm,焦点新闻,0,ul.list li,a::attr("href"),span.p_next a::attr("href"),,span.date::text,p.title::text,0,,,p.info span:nth-child(3)::text,p.info span:nth-child(2)::text,div.v_news_content ::text,http://www.scu.edu.cn/,1
31,cqu,重庆大学,http://news.cqu.edu.cn/newsv2/news-126.html,综合新闻,0,div.lists div.item,div.title a::attr("href"),a.a1::attr("href"),,,h1.dtitle::text,1,div.ibox ::text,,div.dinfoa ::text,,div.acontent ::text,,1
32,uestc,电子科技大学,https://news.uestc.edu.cn/?n=UestcNews.Front.Category.Page&CatId=42,焦点新闻,0,div#Degas_news_list ul li,h3 a::attr("href"),ul.pagination li:last-child a::attr("href"),,span.time::text,h1.Degas_news_title::text,0,,div.Degas_news_info span::text,div.Degas_news_info span::text,div.Degas_news_info span::text,div.Degas_news_content ::text,https://news.uestc.edu.cn,1
33,xjtu,西安交通大学,http://news.xjtu.edu.cn/zhxw.htm,综合新闻,0,div.i_left div.l_li,a::attr("href"),a.Next::attr("href"),,cite::attr("href"),div.d_title::text,0,div.d_author::text,div.d_author::text,div.d_author::text,div.d_author::text,div.d_detail ::text,http://news.xjtu.edu.cn/,1
34,nwpu,西北工业大学,https://news.nwpu.edu.cn/gdyw.htm,工大要闻,0,div.list-l ul li,div.fr a::attr("href"),a.Next::attr("href"),,,form h5::text,0,div.time span:first-child::text,,div.time span:nth-child(2)::text,div.time span:nth-child(3)::text,div.v_news_content ::text,https://news.nwpu.edu.cn/,1
35,lzu,兰州大学,http://www.lzu.edu.cn/static/home/news/,兰大新闻,0,div#news-list article,a::attr("href"),a.next::attr("href"),,,div.container h1::text,0,ins#pubdate::text,,div#writer span::text,span#source ins::text,div#cont ::text,,1
36,nudt,国防科技大学,http://www.nudt.edu.cn/articlelist.asp?classid=58,新闻,0,tr.listbg,a::attr("href"),td.tableBorderGreen_subList table:last-child a::attr("href"),,td.timeclass::text,td.text_title::text,0,,td.text_author::text,td.text_author::text,td.text_author::text,td.tableBorderGreen_subList table table tr td ::text,http://www.nudt.edu.cn/,1
37,neu,东北大学,http://neunews.neu.edu.cn/campus/part/DDYW.html,东大要闻,0,div.ny_middle ul li,a::attr("href"),div.epages a:nth-last-child(3)::attr("href"),,span::text,div.ny_wzbt1::text,0,,div.ny_wzbt2 ::text,div.ny_wzbt2 ::text,div.ny_wzbt2 ::text,div#content ::text,http://neunews.neu.edu.cn,1
38,zzu,郑州大学,http://www16.zzu.edu.cn/msgs/vmsgisapi.dll/vmsglist?mtype=x&lan=202,综合新闻,0,div.zzj_5a,a::attr("href"),div.zzj_4 a:nth-child(3)::attr("href"),,,div.zzj_3::text,0,div.zzj_4 span:nth-child(3)::text,div.zzj_4 span:nth-child(4)::text,div.zzj_4 span:nth-child(1)::text,div.zzj_4 span:nth-child(2)::text,div.zzj_5 ::text,,1
39,hnu,湖南大学,http://news.hnu.edu.cn/toutiaoxinwen/,头条新闻,0,div.main_conterlist ul li,a::attr("href"),div.page a:nth-last-child(2)::attr("href"),,span.page::text,div.conterlist h2::text,0,,div.conterlisttir_left_div span::text,div.conterlisttir_left_div span::text,div.conterlisttir_left_div span::text,div.conterlist_conter ::text,,1
40,ynu,云南大学,http://www.news.ynu.edu.cn/zhxw.htm,综合新闻,0,div.clearfix ul.clearfix li,a::attr("href"),a.Next::attr("href"),,span.fr::text,div.con_nav h2::text,0,,,,,div#vsb_content ::text,http://www.news.ynu.edu.cn/,1
41,nwsuaf,西北农林科技大学,http://news.nwsuaf.edu.cn/xnxw/index.htm,新闻焦点,0,div.lb01 ul li,a::attr("href"),div.list_sort form a:nth-last-child(3)::attr("href"),,span::text,div.right_list h3::text,0,,div#author ::text,div#author ::text,div#author ::text,div#work ::text,http://news.nwsuaf.edu.cn/xnxw/,1
